,disease 1,disease 2,distance
0,acute respiratory distress syndrome,cervical cancer,4.137514330647476
0,acute respiratory distress syndrome,cervical carcinoma,3.9936330222600542
0,acute respiratory distress syndrome,cholangiocarcinoma,4.194181581114388
0,acute respiratory distress syndrome,clear cell renal cell carcinoma,4.308579877498047
0,acute respiratory distress syndrome,colon cancer,3.8534583374799785
0,acute respiratory distress syndrome,colorectal cancer,4.074771741143048
0,acute respiratory distress syndrome,coronary artery disease,4.260336900236108
0,acute respiratory distress syndrome,cutaneous squamous cell carcinoma,3.4422827936718927
0,acute respiratory distress syndrome,diabetes mellitus,4.470763543514724
0,acute respiratory distress syndrome,diabetic retinopathy,4.097604991559254
0,acute respiratory distress syndrome,dilated cardiomyopathy,4.466683371686435
0,acute respiratory distress syndrome,endometrial cancer,4.2913437659494535
0,acute respiratory distress syndrome,esophageal cancer,3.97018098560803
0,acute respiratory distress syndrome,esophageal squamous cell carcinoma,4.255547091972815
0,acute respiratory distress syndrome,essential hypertension,3.8557717053031744
0,acute respiratory distress syndrome,gastric cancer,4.321531344235018
0,acute respiratory distress syndrome,gestational diabetes mellitus,3.2349158291710505
0,acute respiratory distress syndrome,glioblastoma,4.43454727885917
0,acute respiratory distress syndrome,glioblastoma multiforme,4.284949009969466
0,acute respiratory distress syndrome,glioma,4.611715394830573
0,acute respiratory distress syndrome,heart disease,4.364561211781575
0,acute respiratory distress syndrome,hepatic steatosis,4.330011322556643
0,acute respiratory distress syndrome,hepatoblastoma,4.136911830776695
0,acute respiratory distress syndrome,hepatocellular carcinoma,4.1523200811321805
0,acute respiratory distress syndrome,hirschsprung disease,4.267665765733369
0,acute respiratory distress syndrome,hypertension,4.253166101578059
0,acute respiratory distress syndrome,hypertrophic cardiomyopathy,3.917964489867484
0,acute respiratory distress syndrome,hypopharyngeal squamous cell carcinoma,3.18780629277052
0,acute respiratory distress syndrome,infantile hemangioma,4.0654152399591625
0,acute respiratory distress syndrome,intervertebral disc degeneration,4.249274495221653
0,acute respiratory distress syndrome,leukoaraiosis,4.254988507143466
0,acute respiratory distress syndrome,liver cancer,3.2027129044821643
0,acute respiratory distress syndrome,lung adenocarcinoma,4.049047027763872
0,acute respiratory distress syndrome,lung cancer,3.7980729476064243
0,acute respiratory distress syndrome,lupus nephritis,4.064627787048001
0,acute respiratory distress syndrome,major depressive disorder,4.070285469356307
0,acute respiratory distress syndrome,moyamoya disease,4.287573180924094
0,acute respiratory distress syndrome,multiple sclerosis,4.205137678730267
0,acute respiratory distress syndrome,multiple system atrophy,4.301462453035719
0,acute respiratory distress syndrome,myocardial infarction,4.335680846740676
0,acute respiratory distress syndrome,neuropathic pain,4.4758540600238685
0,acute respiratory distress syndrome,nonalcoholic steatohepatitis,4.100813266585632
0,acute respiratory distress syndrome,non-small cell lung cancer,3.746201170150613
0,acute respiratory distress syndrome,oral squamous cell carcinoma,3.306505209998251
0,acute respiratory distress syndrome,osteoarthritis,4.199843124432101
0,acute respiratory distress syndrome,osteosarcoma,4.300768423598067
0,acute respiratory distress syndrome,ovarian endometriosis,3.261263540805585
0,acute respiratory distress syndrome,pancreatic cancer,3.917199386228795
0,acute respiratory distress syndrome,pancreatic ductal adenocarcinoma,4.169834804170373
0,acute respiratory distress syndrome,papillary thyroid carcinoma,4.064471665871108
0,acute respiratory distress syndrome,pre-eclampsia,4.257654981685672
0,acute respiratory distress syndrome,prostate adenocarcinoma,3.1902511518333894
0,acute respiratory distress syndrome,prostate cancer,4.122715234430183
0,acute respiratory distress syndrome,pulmonary tuberculosis,3.3022962520641195
0,acute respiratory distress syndrome,rheumatoid arthritis,4.403696600366252
0,acute respiratory distress syndrome,silicosis,4.089860951395993
0,acute respiratory distress syndrome,systemic lupus erythematosus,4.143906198455721
0,acute respiratory distress syndrome,thoracic aortic dissection,3.1631033060857927
0,acute respiratory distress syndrome,tuberculosis,4.081114441764847
0,acute respiratory distress syndrome,type 2 diabetes mellitus,4.171197464301483
0,alzheimer's disease,atherosclerosis,3.2443338416180776
0,alzheimer's disease,basal cell carcinoma,3.6999201223709868
0,alzheimer's disease,bladder cancer,3.5677331005052393
0,alzheimer's disease,bladder urothelial carcinoma,4.351512430972665
0,alzheimer's disease,breast cancer,3.3530059353317405
0,alzheimer's disease,cardiovascular disease,3.1221833499833482
0,alzheimer's disease,cervical cancer,3.2212804293652852
0,alzheimer's disease,cervical carcinoma,3.973343987220002
0,alzheimer's disease,cholangiocarcinoma,3.26097571552207
0,alzheimer's disease,clear cell renal cell carcinoma,4.56403195126962
0,alzheimer's disease,colon cancer,3.9623891597117895
0,alzheimer's disease,colorectal cancer,3.729426259979914
0,alzheimer's disease,coronary artery disease,3.1773902811510437
0,alzheimer's disease,cutaneous squamous cell carcinoma,4.0625117677448825
0,alzheimer's disease,diabetes mellitus,2.989945023185131
0,alzheimer's disease,diabetic retinopathy,3.3214787516342694
0,alzheimer's disease,dilated cardiomyopathy,5.121461801103799
0,alzheimer's disease,endometrial cancer,4.325534735393131
